Section,Subsection,,Link(s),Title,Author(s),Affiliation,PMID,PMCID,PubDate,MeSH,Abstract,PubType
,,ADEM with bilateral optic neuritis following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/35151258/,https://pubmed.ncbi.nlm.nih.gov/35151258 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8840677/,Acute disseminated encephalomyelitis with bilateral optic neuritis following ChAdOx1 COVID-19 vaccination.,"Nagaratnam, Sai A; Ferdi, Alex C; Leaney, John; Lee, Raymond Lam Kwong; Hwang, Yun Tae; Heard, Robert","Department of Neurology, Gosford Hospital, Gosford, NSW, Australia. sai@nagaratnam.net.; The University of Sydney, Save Sight Institute, Sydney, NSW, Australia.; Sydney Eye Surgeons, Sydney, NSW, Australia.; Department of Radiology, Gosford Hospital, Gosford, NSW, Australia.; Brain and Mind Centre, The University of Sydney and Gosford Hospital, Gosford, NSW, Australia.; The University of Sydney, Sydney, NSW, Australia.",35151258,PMC8840677,2022-02-12 00:00:00,"Adult; *COVID-19; COVID-19 Vaccines; *Encephalomyelitis, Acute Disseminated/diagnostic imaging/drug therapy/etiology; Evoked Potentials, Visual; Female; Humans; *Optic Neuritis/drug therapy/etiology; SARS-CoV-2; Vaccination","BACKGROUND: Acute disseminated encephalomyelitis (ADEM) is a rare immune-mediated inflammatory demyelinating disease of the central nervous system. We report a case of ADEM presenting with bilateral optic neuritis temporally associated with the ChAdOx1 vaccine against SARS-COVID19 virus. CASE PRESENTATION: A 36-year-old female presented with bilateral optic neuritis following her first dose of the ChAdOx1 vaccine. Initial MRI Brain showed evidence of demyelination within the subcortical white matter, with no radiological involvement of the optic nerves. Visual evoked potentials were consistent with bilateral optic neuritis which was confirmed radiologically on follow up MRI. She was treated with intravenous steroids with improvement both in symptoms and radiological appearance. A",Vaccine Publication
,,Acute disseminated encephalomyelitis (ADEM) in a 88yoF following Pfizer vaccination:https://pubmed.ncbi.nlm.nih.gov/34841097/,https://pubmed.ncbi.nlm.nih.gov/34841097 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8605821/,An 88-year-old woman with acute disseminated encephalomyelitis following messenger ribonucleic acid-based COVID-19 vaccination.,"Shimizu, Mai; Ogaki, Kotaro; Nakamura, Ryota; Kado, Eriko; Nakajima, Sho; Kurita, Naohide; Watanabe, Masao; Yamashiro, Kazuo; Hattori, Nobutaka; Urabe, Takao","Department of Neurology, Juntendo University Urayasu Hospital, Urayasu, Japan.; Department of Neurology, Juntendo University Urayasu Hospital, Urayasu, Japan.; Department of Neurology, Juntendo University Urayasu Hospital, Urayasu, Japan.; Department of Neurology, Juntendo University Urayasu Hospital, Urayasu, Japan.; Department of Neurology, Juntendo University Urayasu Hospital, Urayasu, Japan.; Department of Neurology, Juntendo University Urayasu Hospital, Urayasu, Japan.; Department of Neurology, Juntendo University Urayasu Hospital, Urayasu, Japan.; Department of Neurology, Juntendo University Urayasu Hospital, Urayasu, Japan.; Department of Neurology, Juntendo University School of Medicine, Tokyo, Japan.; Department of Neurology, Juntendo University Urayasu Hospital, Urayasu, Japan.",34841097,PMC8605821,2021-12-01 00:00:00,,"A global pandemic has resulted from the emergence of severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), the causative agent of coronavirus disease 2019 (COVID-19). To control the spread of SARS-CoV-2 infection, several",Vaccine Publication
,,COVID-19 Moderna booster induced autoimmune encephalitis in a 48yoM: https://pubmed.ncbi.nlm.nih.gov/35182374/,https://pubmed.ncbi.nlm.nih.gov/35182374 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8857887/,COVID-19-booster vaccine-induced encephalitis.,"Sluyts, Yasmine; Arnst, Yuna; Vanhemelryck, Toon; De Cauwer, Harald","Department of Neurology, Geel General Hospital, Ziekenhuis Netwerk Kempen, Ziekenhuis Geel, JB Stessenstraat 2, 2440, Geel, Belgium.; Faculty of Medicine and Health Sciences, University of Antwerp, Wilrijk, Belgium.; Department of Neurology, Geel General Hospital, Ziekenhuis Netwerk Kempen, Ziekenhuis Geel, JB Stessenstraat 2, 2440, Geel, Belgium.; Faculty of Medicine and Health Sciences, University of Antwerp, Wilrijk, Belgium.; Department of Emergency Medicine, Geel General Hospital, Ziekenhuis Netwerk Kempen, Geel, Belgium.; Department of Neurology, Geel General Hospital, Ziekenhuis Netwerk Kempen, Ziekenhuis Geel, JB Stessenstraat 2, 2440, Geel, Belgium. harald.decauwer@ziekenhuisgeel.be.; Faculty of Medicine and Health Sciences, University of Antwerp, Wilrijk, Belgium. harald.decauwer@ziekenhuisgeel.be.",35182374,PMC8857887,2022-04-01 00:00:00,"Antibodies, Viral; *COVID-19; COVID-19 Vaccines/adverse effects; *Encephalitis; *Encephalitis, Japanese; Humans",,Vaccine Publication
,Encephalitis / Delirium,Anti-LGI1 encephalitis in a 48yoM following mRNA vaccination: https://pubmed.
,,Autoimmune encephalitis in a 35yoF following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/35021289/,https://pubmed.ncbi.nlm.nih.gov/35021289 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8762504/,Autoimmune Encephalitis as an Adverse Event of COVID-19 Vaccination.,"Shin, Hye-Rim; Kim, Baik-Kyun; Lee, Soon-Tae; Kim, Aryun","Department of Neurology, Dankook University Hospital, Cheonan, Korea.; Department of Neurology, Chungbuk National University Hospital, Cheongju, Korea.; Department of Neurology, Seoul National University Hospital, Seoul National University College of Medicine, Seoul, Korea.; Department of Neurology, Chungbuk National University Hospital, Cheongju, Korea. mypioneer97@gmail.com.",35021289,PMC8762504,2022-01-01 00:00:00,,,Vaccine Publication
,,Case report of AstraZeneca associated encephalitis in a 22yoF: https://pubmed.ncbi.nlm.nih.gov/34903200/   ,https://pubmed.ncbi.nlm.nih.gov/34903200 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8666465/,A case report of ChAdOx1 nCoV-19 vaccine-associated encephalitis.,"Takata, Junko; Durkin, Simon M; Wong, Solomon; Zandi, Michael S; Swanton, Josephine K; Corrah, Tumena W","Department of Infectious Diseases and Tropical Medicine, Northwick Park Hospital, London North West University Healthcare NHS Trust, Watford Road, Harrow, HA1 3UJ, UK.; Department of Infectious Diseases and Tropical Medicine, Northwick Park Hospital, London North West University Healthcare NHS Trust, Watford Road, Harrow, HA1 3UJ, UK. simon.durkin@nhs.net.; Harrow Crisis Team, Central and North West London NHS Foundation Trust, Northwick Park Hospital, Harrow, London, HA1 3UJ, UK.; National Hospital for Neurology and Neurosurgery, University College London Hospitals NHS Foundation Trust, Queen Square, London, WC1N 3BG, UK.; National Hospital for Neurology and Neurosurgery, University College London Hospitals NHS Foundation Trust, Queen Square, London, WC1N 3BG, UK.; Department of Neurology, Northwick Park Hospital, London North West University Healthcare NHS Trust, Watford Road, Harrow, HA1 3UJ, UK.; Department of Infectious Diseases and Tropical Medicine, Northwick Park Hospital, London North West University Healthcare NHS Trust, Watford Road, Harrow, HA1 3UJ, UK.",34903200,PMC8666465,2021-12-13 00:00:00,*COVID-19; COVID-19 Vaccines; ChAdOx1 nCoV-19; *Encephalitis/chemically induced; Female; Humans; SARS-CoV-2,"BACKGROUND: Vaccination against COVID-19 continues apace, but side-effects, both common and severe, continue to be reported. We report here the first published case of COVID-19 vaccine-related encephalitis. CASE PRESENTATION: A young woman presented with acute neuropsychiatric symptoms following recent ChAdOx1 nCoV-19 vaccination. Extensive investigation did not identify alternative causes. CONCLUSIONS: This difficult case is here described, including presentation, investigation, and management. Further study on neuropsychiatric side-effects of",Vaccine Publication
,,Acute Disseminated Encephalitis in a young female following mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34480527/,https://pubmed.ncbi.nlm.nih.gov/34480527 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8528462/,Acute disseminated encephalomyelitis in a patient vaccinated against SARS-CoV-2.,"Kania, Karolina; Ambrosius, Wojciech; Tokarz Kupczyk, Elzbieta; Kozubski, Wojciech","Department of Neurology, Poznan University of Medical Sciences, Poznan, Poland.; Department of Neurology, Poznan University of Medical Sciences, Poznan, Poland.; Department of Neurology, Poznan University of Medical Sciences, Poznan, Poland.; Department of Neurology, Poznan University of Medical Sciences, Poznan, Poland.",34480527,PMC8528462,2021-10-01 00:00:00,"2019-nCoV Vaccine mRNA-1273; Brain/diagnostic imaging; COVID-19/*prevention & control; COVID-19 Vaccines/*adverse effects; Encephalomyelitis, Acute Disseminated/*chemically induced/*diagnostic imaging; Female; Humans; Young Adult","Acute disseminated encephalomyelitis (ADEM) is a demyelinating disease, and there are some data that link this event with various vaccinations. We report a young female admitted to the hospital with headache, fever, back pain, nausea, vomiting, and urinary retention. Two weeks prior, she received the first dose of",Vaccine Publication
,,Postvaccinal encephalitis following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/34324214/,https://pubmed.ncbi.nlm.nih.gov/34324214 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8426979/,Postvaccinal Encephalitis after ChAdOx1 nCov-19.,"Zuhorn, Frédéric; Graf, Tilmann; Klingebiel, Randolf; Schäbitz, Wolf-Rüdiger; Rogalewski, Andreas","Department of Neurology, University Hospital OWL of the University Bielefeld, Bielefeld, Germany.; Department of Neurology, University Hospital OWL of the University Bielefeld, Bielefeld, Germany.; Department of Neuroradiology, University Hospital OWL of the University Bielefeld, Bielefeld, Germany.; Department of Neurology, University Hospital OWL of the University Bielefeld, Bielefeld, Germany.; Department of Neurology, University Hospital OWL of the University Bielefeld, Bielefeld, Germany.",34324214,PMC8426979,2021-09-01 00:00:00,"COVID-19/*prevention & control; COVID-19 Vaccines/*adverse effects; ChAdOx1 nCoV-19; Encephalomyelitis, Acute Disseminated/*chemically induced/*diagnostic imaging/physiopathology; Female; Humans; Male; Middle Aged; Young Adult","The global SARS-CoV-2 pandemic has contributed to more than 163 million confirmed infections and 3.3 million deaths worldwide. The severity of the pandemic has led to an unprecedented effort to develop multiple effective vaccines. Due to excellent safety and efficacy data from clinical trials, several vaccines were approved. We report a case series of postvaccinal encephalitis in temporal correlation to vaccination with ChAdOx1 nCov-19. The diagnostic criteria for possible autoimmune encephalitis were fulfilled. Our patients responded well to immunosuppressive therapy with corticosteroids. The incidence has been estimated to be approximately 8 per 10 million vaccine doses. Complication of postvaccinal encephalitis after ChAdOx1 nCoV-19 vaccination still appear to be very rare, but need to be diagnosed and treated adequately. Large pooled data from observational epidemiologic studies are necessary to verify causality. ANN NEUROL 2021;90:506-511.",Vaccine Publication
,,"Acute encephalitis, myoclonus, and sweet syndrome after mRNA vaccine: https://pubmed.ncbi.nlm.nih.gov/34312136/",https://pubmed.ncbi.nlm.nih.gov/34312136 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8314742/,"Acute encephalitis, myoclonus and Sweet syndrome after mRNA-1273 vaccine.","Torrealba-Acosta, Gabriel; Martin, Jennifer C; Huttenbach, Yve; Garcia, Catherine R; Sohail, Muhammad R; Agarwal, Sandeep Krishna; Wasko, Carina; Bershad, Eric M; Hirzallah, Mohammad I","Neurology, Baylor College of Medicine, Houston, Texas, USA gabriel.torrealbaacosta@bcm.edu.; Department of Dermatology, Baylor College of Medicine, Houston, Texas, USA.; Department of Dermatopathology, Baylor College of Medicine, Houston, Texas, USA.; Neurology, Baylor College of Medicine, Houston, Texas, USA.; Department of Medicine, Section of Infectious Diseases, Baylor College of Medicine, Houston, Texas, USA.; Department of Medicine, Section of Immunology, Allergy, and Rheumatology, Baylor College of Medicine, Houston, Texas, USA.; Department of Dermatology, Baylor College of Medicine, Houston, Texas, USA.; Neurology, Baylor College of Medicine, Houston, Texas, USA.; Neurology, Baylor College of Medicine, Houston, Texas, USA.",34312136,PMC8314742,2021-07-26 00:00:00,2019-nCoV Vaccine mRNA-1273; COVID-19 Vaccines; *Encephalitis/diagnosis/etiology; Humans; *Myoclonus/etiology; *Sweet Syndrome/diagnosis/drug therapy/etiology,"A patient presented with fever, generalised rash, confusion, orofacial movements and myoclonus after receiving the first dose of mRNA-1273 vaccine from Moderna. MRI was unremarkable while cerebrospinal fluid showed leucocytosis with lymphocyte predominance and hyperproteinorrachia. The skin evidenced red,",Vaccine Publication
,,Acute psychosis due to anti-NMDA encephalitis in a young female in her 20s following Pfizer vaccination: https://pubmed.ncbi.nlm.nih.gov/34803896/,https://pubmed.ncbi.nlm.nih.gov/34803896 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8599934/,Acute Psychosis Due to Anti-N-Methyl D-Aspartate Receptor Encephalitis Following,"Flannery, Patrick; Yang, Ingrid; Keyvani, Madjid; Sakoulas, George","The Salk Institute of Biological Studies, San Diego, CA, United States.; Sharp Rees-Stealy Medical Group and Sharp Memorial Hospital, San Diego, CA, United States.; Sharp Rees-Stealy Medical Group and Sharp Memorial Hospital, San Diego, CA, United States.; Sharp Rees-Stealy Medical Group and Sharp Memorial Hospital, San Diego, CA, United States.; Division of Host-Microbe Systems and Therapeutics, Center for Immunity, Infection and Inflammation, University of California-San Diego School of Medicine, La Jolla, CA, United States.",34803896,PMC8599934,2021-01-01 00:00:00,,"Anti-N-methyl D-aspartate (NMDA) receptor (anti-NMDAR) encephalitis has been reported after SARS-CoV-2 infection, but not after SARS-CoV-2 vaccination. We report the first known case of anti-NMDAR encephalitis after SARS-CoV-2 immunization in a young female presenting with acute psychosis, highlighting a rare potential immunological complication of vaccination against SARS-CoV-2 that is currently being distributed worldwide. The patient presented initially with anxiety and hypochondriacal delusions which progressed to psychosis and catatonia but returned to baseline with aggressive immunomodulatory therapy consisting of intravenous immunoglobulin, high-dose glucocorticoids, and rituximab. This study highlights that the workup of acute psychosis should include establishing a history of recent vaccination followed by a thorough neurological assessment, including for anti-NMDAR antibodies in blood and cerebrospinal fluid.",Vaccine Publication
,,First episode of psychosis in 18yoF following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/35091388/,https://pubmed.ncbi.nlm.nih.gov/35091388 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8784614/,First episode psychosis following receipt of first dose of COVID-19 vaccine: A case report.,"Grover, Sandeep; Rani, Seema; Kohat, Komal; Kathiravan, Sanjana; Patel, Garima; Sahoo, Swapnajeet; Mehra, Aseem; Singh, Shubhmohan; Bhadada, Sanjay","Department of Psychiatry, Post Graduate Institute of Medical Education & Research, Chandigarh, India; Department of Endocrinology, Post Graduate Institute of Medical Education & Research, Chandigarh, India. Electronic address: drsandeepg2002@yahoo.com.; Department of Psychiatry, Post Graduate Institute of Medical Education & Research, Chandigarh, India; Department of Endocrinology, Post Graduate Institute of Medical Education & Research, Chandigarh, India.; Department of Psychiatry, Post Graduate Institute of Medical Education & Research, Chandigarh, India; Department of Endocrinology, Post Graduate Institute of Medical Education & Research, Chandigarh, India.; Department of Psychiatry, Post Graduate Institute of Medical Education & Research, Chandigarh, India; Department of Endocrinology, Post Graduate Institute of Medical Education & Research, Chandigarh, India.; Department of Psychiatry, Post Graduate Institute of Medical Education & Research, Chandigarh, India; Department of Endocrinology, Post Graduate Institute of Medical Education & Research, Chandigarh, India.; Department of Psychiatry, Post Graduate Institute of Medical Education & Research, Chandigarh, India; Department of Endocrinology, Post Graduate Institute of Medical Education & Research, Chandigarh, India.; Department of Psychiatry, Post Graduate Institute of Medical Education & Research, Chandigarh, India; Department of Endocrinology, Post Graduate Institute of Medical Education & Research, Chandigarh, India.; Department of Psychiatry, Post Graduate Institute of Medical Education & Research, Chandigarh, India; Department of Endocrinology, Post Graduate Institute of Medical Education & Research, Chandigarh, India.; Department of Psychiatry, Post Graduate Institute of Medical Education & Research, Chandigarh, India; Department of Endocrinology, Post Graduate Institute of Medical Education & Research, Chandigarh, India.",35091388,PMC8784614,2022-03-01 00:00:00,BNT162 Vaccine; *COVID-19/prevention & control; COVID-19 Vaccines/adverse effects; Humans; *Psychotic Disorders/etiology,,Vaccine Publication
,,New onset psychosis in 31yoM after mRNA vaccine: https://pubmed.ncbi.nlm.nih.gov/34388513/,https://pubmed.ncbi.nlm.nih.gov/34388513 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8349391/,Can new onset psychosis occur after mRNA based COVID-19 vaccine administration? A case report.,"Reinfeld, Samuel; Cáceda, Ricardo; Gil, Roberto; Strom, Harrison; Chacko, Mason","Department of Psychiatry and Behavioral Health, Stony Brook University, Stony Brook, New York, United States.; Department of Psychiatry and Behavioral Health, Stony Brook University, Stony Brook, New York, United States; Northport Veteran Administration Medical Center, Northport, New York, United States.; Department of Psychiatry and Behavioral Health, Stony Brook University, Stony Brook, New York, United States.; Department of Psychiatry and Behavioral Health, Stony Brook University, Stony Brook, New York, United States.; Department of Psychiatry and Behavioral Health, Stony Brook University, Stony Brook, New York, United States. Electronic address: mason.chacko@stonybrookmedicine.edu.",34388513,PMC8349391,2021-10-01 00:00:00,"*COVID-19; COVID-19 Vaccines; Humans; *Psychotic Disorders/genetics; RNA, Messenger; SARS-CoV-2",,Vaccine Publication
,,Other:
,Parkinson's,"COVID-19 vaccine associated parkinson’s disease, a prion disease signal in UK yellow card adverse event database: https://www.semanticscholar.org/paper/COVID-19-Vaccine-Associated-Parkinson%27s-Disease%2C-A-Classen/0fe033bb1e274f27bc7c1703f09206e2965c75ca"
,Prion disease,COVID-19 RNA based vaccines and the risk of prion disease: https://www.semanticscholar.org/paper/COVID-19-RNA-Based-Vaccines-and-the-Risk-of-Prion-Classen/68580738ad152158a095c2f90a2a28a4c8b5d7d2
,,"Polyneuritis cranialis, a rare GBS variant, associated with Pfizer in a 16yoF: https://pubmed.ncbi.nlm.nih.gov/35062795/",https://pubmed.ncbi.nlm.nih.gov/35062795 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8779427/,Polyneuritis Cranialis Associated with BNT162b2 mRNA COVID-19 Vaccine in a Healthy Adolescent.,"Kulsirichawaroj, Pimchanok; Sanmaneechai, Oranee; Wittawatmongkol, Orasri; Chokephaibulkit, Kulkanya","Department of Pediatrics, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkok 10700, Thailand.; Department of Pediatrics, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkok 10700, Thailand.; Department of Pediatrics, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkok 10700, Thailand.; Department of Pediatrics, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkok 10700, Thailand.",35062795,PMC8779427,2022-01-17 00:00:00,,"A 16-year-old Thai girl developed right facial palsy, a lower motor neuron lesion, and numbness 3 h after receiving the first dose of the BNT162b2 mRNA vaccine. Neurological examination showed the involvement of the right cranial nerves (CN) V, VII, IX, and X. Electrophysiological tests revealed the absence of an F wave response, suggesting a proximal demyelinating process. Magnetic resonance imaging of the brain demonstrated abnormal enhancement of the right CN VII. The cerebrospinal fluid profile on day 7 after the onset of symptoms was normal. The patient was diagnosed with polyneuritis cranialis, a rare variant of",Vaccine Publication
,,Reversible radiculomyelitis after AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/35110289/,https://pubmed.ncbi.nlm.nih.gov/35110289 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8811582/,Reversible radiculomyelitis after ChAdOx1 nCoV-19 vaccination.,"Spataro, Rossella; Fisco, Giacomo; La Bella, Vincenzo","Department of Biomedicine, Neuroscience and Advanced Diagnostics, ALS Clinical Research Center, University of Palermo, Palermo, Italy.; IRCCS Centro Neurolesi Bonino Pulejo, Palermo, Italy.; IRCCS Centro Neurolesi Bonino Pulejo, Palermo, Italy.; Department of Biomedicine, Neuroscience and Advanced Diagnostics, ALS Clinical Research Center, University of Palermo, Palermo, Italy vincenzo.labella@unipa.it.",35110289,PMC8811582,2022-02-02 00:00:00,*COVID-19; COVID-19 Vaccines; ChAdOx1 nCoV-19; Female; Humans; SARS-CoV-2; Vaccination/adverse effects; *Viral Vaccines,"Adverse events occurring after SARS-CoV-2 vaccination have been reported and are the subject of ongoing research. We present the case of a young woman with fully reversible radiculomyelitis, which happened after the first dose of the ChAdOx1",Vaccine Publication
,,Severe dyskinesia in Parkinson Patient following mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34368991/,https://pubmed.ncbi.nlm.nih.gov/34368991 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441657/,Severe Dyskinesia After Administration of SARS-CoV2 mRNA Vaccine in Parkinson's Disease.,"Erro, Roberto; Buonomo, Antonio Riccardo; Barone, Paolo; Pellecchia, Maria Teresa","Department of Medicine, Surgery and Dentistry ""Scuola Medica Salernitana,"" Neuroscience Section, University of Salerno, Baronissi, Italy.; Infectious Disease Unit, University Federico II, Naples, Italy.; Department of Medicine, Surgery and Dentistry ""Scuola Medica Salernitana,"" Neuroscience Section, University of Salerno, Baronissi, Italy.; Department of Medicine, Surgery and Dentistry ""Scuola Medica Salernitana,"" Neuroscience Section, University of Salerno, Baronissi, Italy.",34368991,PMC8441657,2021-10-01 00:00:00,"*COVID-19; *Dyskinesia, Drug-Induced; Humans; Levodopa; *Parkinson Disease/drug therapy/genetics; RNA, Messenger; RNA, Viral; SARS-CoV-2; *Vaccines",,Vaccine Publication
,,Hemichorea following Pfizer: https://pubmed.ncbi.nlm.nih.gov/34811599/,https://pubmed.ncbi.nlm.nih.gov/34811599 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8608562/,A case of hemichorea following administration of the Pfizer-BioNTech COVID-19 vaccine.,"Ryu, Dong-Woo; Lim, Eun-Ye; Cho, A-Hyun","Department of Neurology, Yeouido St. Mary's Hospital, College of Medicine, The Catholic University of Korea, 10, 63-ro, Yeongdeungpo-gu, Seoul, 07345, Republic of Korea. manrew@catholic.ac.kr.; Department of Neurology, Yeouido St. Mary's Hospital, College of Medicine, The Catholic University of Korea, 10, 63-ro, Yeongdeungpo-gu, Seoul, 07345, Republic of Korea.; Department of Neurology, Yeouido St. Mary's Hospital, College of Medicine, The Catholic University of Korea, 10, 63-ro, Yeongdeungpo-gu, Seoul, 07345, Republic of Korea.",34811599,PMC8608562,2022-02-01 00:00:00,Advisory Committees; *BNT162 Vaccine; *COVID-19; COVID-19 Vaccines; Humans; SARS-CoV-2,,Vaccine Publication
,,3 cases of worsening complex regional pain syndrome following mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34809486/,https://pubmed.ncbi.nlm.nih.gov/34809486 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8610071/,Acute worsening of clinical presentation in CRPS after SARS-CoV-2 (COVID-19) vaccination: a case series.,"Zhang, Jessica; Gungor, Semih","Research Assistant, Department of Anesthesiology, Critical Care & Pain Management, Hospital for Special Surgery, New York, NY 10021, USA.; Attending Physician, Department of Anesthesiology, Critical Care & Pain Management, Hospital for Special Surgery, New York, NY 10021, USA.; Assistant Professor of Anesthesiology, Department of Anesthesiology, Weill Cornell Medicine, New York, NY 10065, USA.",34809486,PMC8610071,2022-04-01 00:00:00,*COVID-19/complications/prevention & control; COVID-19 Vaccines/adverse effects; *Complex Regional Pain Syndromes/diagnosis/etiology; Humans; SARS-CoV-2; Vaccination/adverse effects,"We present the acute worsening of clinical presentation in complex regional pain syndrome (CRPS), following mRNA-based COVID-19 vaccination. We report the case series of three patients diagnosed with CRPS type I who presented with acute worsening of symptoms after mRNA-based COVID-19 vaccination and their medical management. The acute clinical worsening after mRNA-based COVID-19 vaccination was transient and effectively managed with adjustment of individualized therapy in all three patients. The mortality and morbidity of COVID-19 infection are serious, and vaccination is recommended in the general population, including patients with a diagnosis of CRPS. However, clinicians should be aware of the possibility that there may be a clinical worsening CRPS after mRNA-based COVID-19 vaccination.",Vaccine Publication
,,Cytotoxic lesion of the Corpus Callousum following mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34402238/,https://pubmed.ncbi.nlm.nih.gov/34402238 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8352783/,Cytotoxic Lesion of the Corpus Callosum (CLOCCs) after SARS-CoV-2 mRNA Vaccination.,"Youn, Taeho; Yang, Heewon","Department of Internal Medicine, Aerospace Medical Center, Cheongju, Korea.; Department of Emergency Medicine, Aerospace Medical Center, Cheongju, Korea. speedheewon@gmail.com.",34402238,PMC8352783,2021-08-09 00:00:00,Brain/physiopathology; Brain Injuries/*etiology; COVID-19/prevention & control; COVID-19 Vaccines/*adverse effects; Corpus Callosum/injuries/*physiopathology; Fever; Humans; Magnetic Resonance Imaging; Male; Polymerase Chain Reaction; SARS-CoV-2; Vaccination/adverse effects; Young Adult,,Vaccine Publication
,,Myeloperoxidase anti-neutrophil cytoplasmic antibody positive optic perineuritis after mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34432055/,https://pubmed.ncbi.nlm.nih.gov/34432055 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8499787/,Myeloperoxidase anti-neutrophil cytoplasmic antibody positive optic perineuritis after mRNA coronavirus disease-19 vaccine.,"Takenaka, T; Matsuzaki, M; Fujiwara, S; Hayashida, M; Suyama, H; Kawamoto, M","From the Department of Neurology, Kobe City Medical Center General Hospital, Kobe, Hyogo, Japan.; Department of Ophthalmology, Kobe City Eye Hospital, Kobe, Hyogo, Japan.; Department of Ophthalmology, Kobe City Medical Center General Hospital, Kobe, Hyogo, Japan.; From the Department of Neurology, Kobe City Medical Center General Hospital, Kobe, Hyogo, Japan.; Department of Ophthalmology, Kobe City Eye Hospital, Kobe, Hyogo, Japan.; Department of Ophthalmology, Kobe City Medical Center General Hospital, Kobe, Hyogo, Japan.; Department of Ophthalmology, Suyama Eye Clinic, Kobe, Hyogo 655-0047, Japan.; From the Department of Neurology, Kobe City Medical Center General Hospital, Kobe, Hyogo, Japan.",34432055,PMC8499787,2021-12-20 00:00:00,"*Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis; Antibodies, Antineutrophil Cytoplasmic; *COVID-19; COVID-19 Vaccines; Humans; Peroxidase; RNA, Messenger; SARS-CoV-2",,Vaccine Publication
,,Two patients with schizophrenia treated with clozapine develop neutropenia after COVID-19 vaccine: https://pubmed.ncbi.nlm.nih.gov/35115846/,https://pubmed.ncbi.nlm.nih.gov/35115846 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8805838/,Two Patients with Schizophrenia Treated with Clozapine Developed Neutropenia After Receiving a COVID-19 Vaccine.,"Tomita, Tetsu; Sakamoto, Yui; Saito, Manabu; Hashimoto, Kojiro; Ono, Yasuki; Nakamura, Kazuhiko","Department of Neuropsychiatry, Graduate School of Medicine, Hirosaki University, Hirosaki, Japan.; Department of Neuropsychiatry, Graduate School of Medicine, Hirosaki University, Hirosaki, Japan.; Department of Neuropsychiatry, Graduate School of Medicine, Hirosaki University, Hirosaki, Japan.; Department of Neuropsychiatry, Graduate School of Medicine, Hirosaki University, Hirosaki, Japan.; Department of Neuropsychiatry, Graduate School of Medicine, Hirosaki University, Hirosaki, Japan.; Department of Neuropsychiatry, Graduate School of Medicine, Hirosaki University, Hirosaki, Japan.",35115846,PMC8805838,2022-01-01 00:00:00,,"BACKGROUND: We observed two cases of patients with schizophrenia who were treated with clozapine (250mg/day and 275mg/day, respectively) and showed neutropenia after receiving a COVID-19 vaccine (BNT162b2). CASE PRESENTATION: Case 1 is a",Vaccine Publication
